"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocrcnut  ","P",01/03/2017 11:28,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0213,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.3000,<0>  ,
"nocrcnut  ","P",01/03/2017 13:32,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0348,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.8100,<0>  ,
"nocrcnut  ","P",01/03/2017 15:36,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0325,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0056,<0>  ,0.8600,<0>  ,
"nocrcnut  ","P",01/03/2017 17:40,1,1,2         ,1         ,"",0.0027,<0>  ,0.0522,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0077,<0>  ,1.2100,<0>  ,
"nocrcnut  ","P",01/03/2017 19:44,1,1,2         ,1         ,"",0.0032,<0>  ,0.0537,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0105,<0>  ,0.9200,<0>  ,
"nocrcnut  ","P",01/03/2017 21:48,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0387,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0180,<0>  ,0.9800,<0>  ,
"nocrcnut  ","P",01/03/2017 23:52,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0261,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,0.8900,<0>  ,
"nocrcnut  ","P",01/04/2017 1:56,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0354,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0081,<0>  ,0.8700,<0>  ,
"nocrcnut  ","P",01/04/2017 4:00,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0331,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0186,<0>  ,0.5000,<0>  ,
"nocrcnut  ","P",01/04/2017 6:04,1,1,2         ,1         ,"",0.0020,<-4> [SBL] ,0.0492,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0206,<0>  ,0.3600,<0>  ,
