"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nocrcnut  ","P",01/09/2019 11:43,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0111,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0149,<0>  ,1.5500,<0>  ,
"nocrcnut  ","P",01/09/2019 13:47,1,1,2         ,1         ,"",0.0025,<0>  ,0.0083,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0199,<0>  ,1.9700,<0>  ,
"nocrcnut  ","P",01/09/2019 13:48,1,1,1         ,1         ,"",0.0090,<0>  ,0.0295,<0>  ,0.0017,<0>  ,0.0889,<0>  ,0.0906,<0>  ,2.0100,<0>  ,
"nocrcnut  ","P",01/09/2019 15:51,1,1,2         ,1         ,"",0.0053,<0>  ,0.0228,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0183,<0>  ,2.9100,<0>  ,
"nocrcnut  ","P",01/09/2019 17:55,1,1,2         ,1         ,"",0.0061,<0>  ,0.0402,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0631,<0>  ,4.2500,<0>  ,
"nocrcnut  ","P",01/09/2019 19:59,1,1,2         ,1         ,"",0.0039,<0>  ,0.0125,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0594,<0>  ,1.8800,<0>  ,
"nocrcnut  ","P",01/09/2019 22:03,1,1,2         ,1         ,"",0.0089,<0>  ,0.0210,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0377,<0>  ,2.7800,<0>  ,
"nocrcnut  ","P",01/10/2019 0:07,1,1,2         ,1         ,"",0.0059,<0>  ,0.0154,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0655,<0>  ,2.0900,<0>  ,
"nocrcnut  ","P",01/10/2019 2:11,1,1,2         ,1         ,"",0.0065,<0>  ,0.0198,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0594,<0>  ,3.3700,<0>  ,
"nocrcnut  ","P",01/10/2019 4:15,1,1,2         ,1         ,"",0.0077,<0>  ,0.0272,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0585,<0>  ,4.6100,<0>  ,
"nocrcnut  ","P",01/10/2019 6:19,1,1,2         ,1         ,"",0.0088,<0>  ,0.0306,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0980,<0>  ,3.8900,<0>  ,
"nocrcnut  ","P",01/10/2019 8:23,1,1,2         ,1         ,"",0.0066,<0>  ,0.0254,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0675,<0>  ,2.9400,<0>  ,
"nocrcnut  ","P",01/10/2019 10:27,1,1,2         ,1         ,"",0.0042,<0>  ,0.0198,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0179,<0>  ,4.5500,<0>  ,
"nocrcnut  ","P",01/10/2019 12:31,1,1,2         ,1         ,"",0.0056,<0>  ,0.0209,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0593,<0>  ,2.1900,<0>  ,
"nocrcnut  ","P",02/12/2019 12:04,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0187,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.1500,<0>  ,
"nocrcnut  ","P",02/12/2019 14:08,1,1,2         ,1         ,"",0.0023,<0>  ,0.0768,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.0600,<0>  ,
"nocrcnut  ","P",02/12/2019 16:12,1,1,2         ,1         ,"",0.0020,<0>  ,0.0387,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.0600,<0>  ,
"nocrcnut  ","P",02/12/2019 18:16,1,1,2         ,1         ,"",0.0018,<0>  ,0.0610,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.3000,<0>  ,
"nocrcnut  ","P",02/12/2019 20:20,1,1,2         ,1         ,"",0.0034,<0>  ,0.0461,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.4000,<0>  ,
"nocrcnut  ","P",02/12/2019 22:24,1,1,2         ,1         ,"",0.0024,<0>  ,0.0093,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0059,<0>  ,2.7200,<0>  ,
"nocrcnut  ","P",02/13/2019 0:28,1,1,2         ,1         ,"",0.0028,<0>  ,0.0086,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.8100,<0>  ,
"nocrcnut  ","P",02/13/2019 2:32,1,1,2         ,1         ,"",0.0036,<0>  ,0.0160,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.4300,<0>  ,
"nocrcnut  ","P",02/13/2019 4:36,1,1,2         ,1         ,"",0.0034,<0>  ,0.0113,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.3900,<0>  ,
"nocrcnut  ","P",02/13/2019 6:40,1,1,2         ,1         ,"",0.0037,<0>  ,0.0134,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.6600,<0>  ,
"nocrcnut  ","P",02/13/2019 8:44,1,1,2         ,1         ,"",0.0048,<0>  ,0.0320,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0061,<0>  ,2.5300,<0>  ,
"nocrcnut  ","P",02/13/2019 10:48,1,1,2         ,1         ,"",0.0047,<0>  ,0.0470,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0255,<0>  ,3.6500,<0>  ,
"nocrcnut  ","P",02/13/2019 12:52,1,1,2         ,1         ,"",0.0027,<0>  ,0.0124,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<0>  ,2.8700,<0>  ,
"nocrcnut  ","P",02/13/2019 13:48,1,1,1         ,1         ,"",0.0035,<0>  ,0.0123,<1> (CHB) ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.1300,<0>  ,
"nocrcnut  ","P",03/11/2019 11:12,1,1,2         ,1         ,"",0.0020,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.4800,<0>  ,
"nocrcnut  ","P",03/11/2019 13:16,1,1,2         ,1         ,"",0.0029,<0>  ,0.0079,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.2100,<0>  ,
"nocrcnut  ","P",03/11/2019 15:20,1,1,2         ,1         ,"",0.0035,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.4500,<0>  ,
"nocrcnut  ","P",03/11/2019 17:24,1,1,2         ,1         ,"",0.0048,<0>  ,0.0171,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.2600,<0>  ,
"nocrcnut  ","P",03/11/2019 19:28,1,1,2         ,1         ,"",0.0046,<0>  ,0.0126,<0>  ,0.0021,<0>  ,0.0152,<0>  ,0.0173,<0>  ,1.4000,<0>  ,
"nocrcnut  ","P",03/11/2019 21:32,1,1,2         ,1         ,"",0.0054,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.5000,<0>  ,
"nocrcnut  ","P",03/11/2019 23:36,1,1,2         ,1         ,"",0.0047,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.7000,<0>  ,
"nocrcnut  ","P",03/12/2019 1:40,1,1,2         ,1         ,"",0.0060,<0>  ,0.0242,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.9400,<0>  ,
"nocrcnut  ","P",03/12/2019 3:44,1,1,2         ,1         ,"",0.0058,<0>  ,0.0111,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.9100,<0>  ,
"nocrcnut  ","P",03/12/2019 5:48,1,1,2         ,1         ,"",0.0057,<0>  ,0.0095,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.1300,<0>  ,
"nocrcnut  ","P",03/12/2019 7:52,1,1,2         ,1         ,"",0.0074,<0>  ,0.0135,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.5700,<0>  ,
"nocrcnut  ","P",03/12/2019 9:56,1,1,2         ,1         ,"",0.0043,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0079,<0>  ,1.0900,<0>  ,
"nocrcnut  ","P",03/12/2019 11:12,1,1,1         ,1         ,"",0.0045,<0>  ,0.0234,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0121,<0>  ,1.7300,<0>  ,
"nocrcnut  ","P",03/12/2019 12:00,1,1,2         ,1         ,"",0.0043,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.2000,<0>  ,
"nocrcnut  ","P",04/08/2019 10:41,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.4900,<0>  ,
"nocrcnut  ","P",04/08/2019 12:45,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.0900,<0>  ,
"nocrcnut  ","P",04/08/2019 14:49,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.2600,<0>  ,
"nocrcnut  ","P",04/08/2019 16:53,1,1,2         ,1         ,"",0.0016,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.6500,<0>  ,
"nocrcnut  ","P",04/08/2019 18:57,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,7.1500,<0>  ,
"nocrcnut  ","P",04/08/2019 21:01,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.2300,<0>  ,
"nocrcnut  ","P",04/08/2019 23:05,1,1,2         ,1         ,"",0.0024,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.5900,<0>  ,
"nocrcnut  ","P",04/09/2019 1:09,1,1,2         ,1         ,"",0.0034,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.9600,<0>  ,
"nocrcnut  ","P",04/09/2019 3:13,1,1,2         ,1         ,"",0.0037,<0>  ,0.0162,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.2900,<0>  ,
"nocrcnut  ","P",04/09/2019 5:17,1,1,2         ,1         ,"",0.0051,<0>  ,0.0200,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.5700,<0>  ,
"nocrcnut  ","P",04/09/2019 7:21,1,1,2         ,1         ,"",0.0048,<0>  ,0.0080,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0213,<0>  ,5.5600,<0>  ,
"nocrcnut  ","P",04/09/2019 9:25,1,1,2         ,1         ,"",0.0041,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.1000,<0>  ,
"nocrcnut  ","P",04/09/2019 11:29,1,1,2         ,1         ,"",0.0043,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.6400,<0>  ,
"nocrcnut  ","P",04/09/2019 11:40,1,1,1         ,1         ,"",0.0039,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0068,<0>  ,4.5600,<0>  ,
"nocrcnut  ","P",04/09/2019 11:41,1,1,1         ,2         ,"",0.0055,<0>  ,0.0095,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0062,<0>  ,3.9600,<0>  ,
"nocrcnut  ","P",04/09/2019 11:42,1,1,1         ,3         ,"",0.0036,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.2300,<0>  ,
"nocrcnut  ","P",05/07/2019 11:01,1,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.9500,<0>  ,
"nocrcnut  ","P",05/07/2019 13:05,1,1,2         ,1         ,"",0.0017,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,8.2300,<0>  ,
"nocrcnut  ","P",05/07/2019 15:09,1,1,2         ,1         ,"",0.0077,<0>  ,0.0062,<-4> [SBL] ,0.0016,<0>  ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,23.3600,<0>  ,
"nocrcnut  ","P",05/07/2019 17:13,1,1,2         ,1         ,"",0.0079,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0149,<0>  ,21.2000,<0>  ,
"nocrcnut  ","P",05/07/2019 19:17,1,1,2         ,1         ,"",0.0048,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,11.1600,<0>  ,
"nocrcnut  ","P",05/07/2019 21:21,1,1,2         ,1         ,"",0.0073,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,9.5300,<0>  ,
"nocrcnut  ","P",05/07/2019 23:25,1,1,2         ,1         ,"",0.0060,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,8.1200,<0>  ,
"nocrcnut  ","P",05/08/2019 1:29,1,1,2         ,1         ,"",0.0064,<0>  ,0.0135,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.2900,<0>  ,
"nocrcnut  ","P",05/08/2019 3:33,1,1,2         ,1         ,"",0.0112,<0>  ,0.0205,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,11.1400,<0>  ,
"nocrcnut  ","P",05/08/2019 5:37,1,1,2         ,1         ,"",0.0191,<0>  ,0.0759,<0>  ,0.0032,<0>  ,0.0032,<0>  ,0.0064,<0>  ,21.5200,<0>  ,
"nocrcnut  ","P",05/08/2019 7:41,1,1,2         ,1         ,"",0.0114,<0>  ,0.0163,<0>  ,0.0018,<0>  ,0.0090,<0>  ,0.0108,<0>  ,10.1100,<0>  ,
"nocrcnut  ","P",05/08/2019 9:45,1,1,2         ,1         ,"",0.0090,<0>  ,0.0218,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,9.2400,<0>  ,
"nocrcnut  ","P",05/08/2019 11:49,1,1,2         ,1         ,"",0.0049,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,5.6700,<0>  ,
"nocrcnut  ","P",05/08/2019 14:00,1,1,1         ,1         ,"",0.0064,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,3.1000,<0>  ,
"nocrcnut  ","P",06/04/2019 9:36,1,1,2         ,1         ,"",0.0029,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,8.5900,<0>  ,
"nocrcnut  ","P",06/04/2019 11:40,1,1,2         ,1         ,"",0.0066,<0>  ,0.0144,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,10.6500,<0>  ,
